단어	품사	뜻	발음기호	예문1	예문1 해석	예문2	예문2 해석	메모
tenant	noun	임차인, 세입자	/ˈtenənt/	The tenant pays rent every month.	세입자는 매달 임대료를 낸다.	The landlord contacted the tenant.	집주인이 세입자에게 연락했다.	부동산 계약
performance	noun	공연	/pərˈfɔːrməns/	The performance starts at 7 p.m.	공연은 오후 7시에 시작한다.	Her performance on stage was excellent.	무대에서 그녀의 공연은 훌륭했다.	무대/연기
performance	noun	성과, 실적	/pərˈfɔːrməns/	The company’s performance improved.	그 회사의 실적이 향상되었다.	We reviewed his job performance.	우리는 그의 업무 성과를 검토했다.	업무/회사 실적
fund	noun	기금, 자금	/fʌnd/	The school created a scholarship fund.	학교는 장학 기금을 만들었다.	We need more funds for the project.	우리는 그 프로젝트에 더 많은 자금이 필요하다.	복수 funds도 자주 사용
fund	verb	자금을 지원하다	/fʌnd/	The government funded the research.	정부가 그 연구에 자금을 지원했다.	The project was funded by donations.	그 프로젝트는 기부금으로 자금 지원을 받았다.	동사
steal	verb	훔치다	/stiːl/	Someone stole my wallet.	누군가 내 지갑을 훔쳤다.	He was caught stealing food.	그는 음식을 훔치다가 잡혔다.	steal-stole-stolen
refund	noun	환불	/ˈriːfʌnd/	I asked for a refund.	나는 환불을 요청했다.	The store gave me a full refund.	그 가게는 나에게 전액 환불을 해주었다.	명사
refund	verb	환불하다	/rɪˈfʌnd/	The company refunded my money.	그 회사는 내 돈을 환불해 주었다.	They will refund the ticket price.	그들은 티켓 가격을 환불해 줄 것이다.	동사일 때 강세 뒤쪽
interest rate	noun phrase	이자율, 금리	/ˈɪntrəst reɪt/	The interest rate went up.	이자율이 올랐다.	Low interest rates encouraged borrowing.	낮은 금리는 대출을 장려했다.	경제/대출
press conference	noun phrase	기자회견	/pres ˈkɑːnfərəns/	The mayor held a press conference.	시장은 기자회견을 열었다.	Reporters attended the press conference.	기자들이 그 기자회견에 참석했다.	hold a press conference
merger	noun	합병	/ˈmɜːrdʒər/	The merger created a larger company.	그 합병은 더 큰 회사를 만들었다.	The two banks announced a merger.	두 은행은 합병을 발표했다.	회사 합병
output	noun	생산량, 산출량	/ˈaʊtpʊt/	Factory output increased this year.	공장 생산량이 올해 증가했다.	The machine’s output is very high.	그 기계의 산출량은 매우 높다.	생산/컴퓨터 출력
be responsive to	phrase	~에 대응하다, 반응하다	/bi rɪˈspɑːnsɪv tuː/	The company is responsive to customer complaints.	그 회사는 고객 불만에 잘 대응한다.	Good leaders are responsive to change.	좋은 지도자는 변화에 잘 대응한다.	요구/변화에 반응
be eligible for	phrase	~을 받을 자격이 있다	/bi ˈelɪdʒəbl fɔːr/	You are eligible for a discount.	당신은 할인을 받을 자격이 있다.	She is eligible for the scholarship.	그녀는 장학금을 받을 자격이 있다.	자격 조건
be accustomed to	phrase	~에 익숙하다	/bi əˈkʌstəmd tuː/	I am accustomed to cold weather.	나는 추운 날씨에 익숙하다.	She is accustomed to working late.	그녀는 늦게 일하는 것에 익숙하다.	to 뒤에 명사/동명사
be dedicated to	phrase	~에 전념하다	/bi ˈdedɪkeɪtɪd tuː/	He is dedicated to his work.	그는 자신의 일에 전념한다.	This organization is dedicated to helping children.	이 단체는 아이들을 돕는 데 전념한다.	to 뒤에 명사/동명사
annual conference	noun phrase	연례 회의	/ˈænjuəl ˈkɑːnfərəns/	The annual conference will be held in May.	연례 회의는 5월에 열릴 것이다.	Many experts attended the annual conference.	많은 전문가들이 연례 회의에 참석했다.	매년 열리는 회의
presented	adjective	제시된, 발표된	/prɪˈzentɪd/	The presented data was clear.	제시된 자료는 명확했다.	All presented ideas were reviewed.	제시된 모든 아이디어가 검토되었다.	분사형 형용사
fine	adjective	우수한, 훌륭한	/faɪn/	She is a fine musician.	그녀는 훌륭한 음악가이다.	That was a fine performance.	그것은 훌륭한 공연이었다.	품질이 좋음
fine	adjective	미세한, 고운	/faɪn/	Fine dust can be harmful.	미세먼지는 해로울 수 있다.	The sand was very fine.	그 모래는 매우 고왔다.	작고 섬세함
rating	noun	평가, 등급	/ˈreɪtɪŋ/	The hotel has a five-star rating.	그 호텔은 5성급 평가를 받았다.	The movie received a high rating.	그 영화는 높은 평점을 받았다.	점수/등급
set up	phrasal verb	준비하다, 세우다, 설치하다	/set ʌp/	We set up the chairs before the meeting.	우리는 회의 전에 의자를 준비했다.	They set up a new company.	그들은 새 회사를 세웠다.	준비/설립/설치
settle	verb	자리잡게 하다, 정착하다	/ˈsetl/	They settled in a small town.	그들은 작은 마을에 정착했다.	She settled the child into bed.	그녀는 아이를 침대에 자리잡게 했다.	정착/안정
settle	verb	해결하다	/ˈsetl/	We settled the problem quickly.	우리는 그 문제를 빨리 해결했다.	The two sides settled the dispute.	양측은 분쟁을 해결했다.	문제/분쟁 해결
organize	verb	조직하다, 정리하다	/ˈɔːrɡənaɪz/	She organized the event.	그녀는 그 행사를 조직했다.	I need to organize my files.	나는 파일을 정리해야 한다.	행사/물건 정리
charge	noun	청구 금액, 요금	/tʃɑːrdʒ/	There is an extra charge for delivery.	배송에는 추가 요금이 있다.	The service charge is included.	서비스 요금이 포함되어 있다.	돈 관련 명사
charge	verb	청구하다, 요금을 부과하다	/tʃɑːrdʒ/	The hotel charged us for breakfast.	그 호텔은 우리에게 아침 식사 비용을 청구했다.	They charge ten dollars for parking.	그들은 주차 요금으로 10달러를 부과한다.	돈을 요구함
distinct	adjective	뚜렷한, 다른	/dɪˈstɪŋkt/	There is a distinct difference between the two.	둘 사이에는 뚜렷한 차이가 있다.	The two words have distinct meanings.	그 두 단어는 서로 다른 의미를 가진다.	분명히 구별됨
dish	noun	요리, 접시	/dɪʃ/	This is my favorite Korean dish.	이것은 내가 가장 좋아하는 한국 요리이다.	She washed the dishes after dinner.	그녀는 저녁 식사 후 접시를 씻었다.	음식/그릇
package	noun	소포, 포장물	/ˈpækɪdʒ/	The package arrived this morning.	소포가 오늘 아침 도착했다.	Please open the package carefully.	그 포장물을 조심히 열어 주세요.	배송 물건
package	noun	패키지, 묶음 상품	/ˈpækɪdʒ/	The travel package includes a hotel.	그 여행 패키지에는 호텔이 포함되어 있다.	We bought a software package.	우리는 소프트웨어 패키지를 샀다.	묶음 상품
ahead of	phrase	~보다 앞서서	/əˈhed əv/	She finished ahead of schedule.	그녀는 예정보다 앞서 끝냈다.	Our team is ahead of the others.	우리 팀은 다른 팀들보다 앞서 있다.	시간/순위
backyard	noun	뒤뜰	/ˌbækˈjɑːrd/	The children played in the backyard.	아이들은 뒤뜰에서 놀았다.	We had a barbecue in the backyard.	우리는 뒤뜰에서 바비큐를 했다.	집 뒤 공간
framed picture	noun phrase	액자에 든 사진, 액자 그림	/freɪmd ˈpɪktʃər/	A framed picture hung on the wall.	액자 사진이 벽에 걸려 있었다.	She gave me a framed picture of her family.	그녀는 가족사진이 든 액자를 나에게 주었다.	frame이 된 사진/그림
in rows	phrase	여러 줄로, 줄지어	/ɪn roʊz/	The chairs were arranged in rows.	의자들이 여러 줄로 배열되어 있었다.	Students stood in rows.	학생들이 줄지어 섰다.	배열 표현
luggage	noun	짐, 수하물	/ˈlʌɡɪdʒ/	Please keep your luggage with you.	짐을 항상 가지고 계세요.	Her luggage was lost at the airport.	그녀의 수하물이 공항에서 분실되었다.	불가산명사
aisle	noun	통로	/aɪl/	Please keep the aisle clear.	통로를 비워 주세요.	She walked down the aisle.	그녀는 통로를 따라 걸었다.	비행기/극장/마트 통로
railing	noun	난간, 울타리	/ˈreɪlɪŋ/	He held the railing while going down the stairs.	그는 계단을 내려가며 난간을 잡았다.	The balcony has a metal railing.	그 발코니에는 금속 난간이 있다.	손잡이/난간
board	verb	탑승하다, 승선하다	/bɔːrd/	Passengers began to board the plane.	승객들이 비행기에 탑승하기 시작했다.	We boarded the train at Seoul Station.	우리는 서울역에서 기차에 탔다.	비행기/기차/배
aboard	preposition	~에 탄, 탑승한	/əˈbɔːrd/	Welcome aboard the ship.	배에 탑승하신 것을 환영합니다.	Everyone was aboard the plane.	모두가 비행기에 타고 있었다.	on board와 비슷
pile	noun	쌓아 놓은 더미	/paɪl/	There was a pile of books on the desk.	책상 위에 책 더미가 있었다.	He put the clothes in a pile.	그는 옷을 한 더미로 쌓았다.	a pile of
pile up	phrasal verb	쌓이다, 쌓아 올리다	/paɪl ʌp/	Work began to pile up.	일이 쌓이기 시작했다.	Snow piled up on the road.	눈이 도로 위에 쌓였다.	일/물건이 쌓임
wire	verb	송금하다, 전신으로 보내다	/waɪər/	She wired the money to her son.	그녀는 아들에게 돈을 송금했다.	Please wire the payment by Friday.	금요일까지 대금을 송금해 주세요.	돈을 전자 송금할 때
wire	noun	철사, 전선	/waɪər/	The wire was connected to the battery.	그 전선은 배터리에 연결되어 있었다.	He fixed the fence with wire.	그는 철사로 울타리를 고쳤다.	전선/철사
due	adjective	기한이 된, 예정된	/duː/	The report is due tomorrow.	보고서는 내일까지 제출해야 한다.	The train is due at 6 p.m.	그 기차는 오후 6시에 도착할 예정이다.	마감/예정
due to	phrase	~때문에	/duː tuː/	The event was canceled due to rain.	그 행사는 비 때문에 취소되었다.	The delay was due to heavy traffic.	지연은 심한 교통 체증 때문이었다.	원인 표현
along with	phrase	~와 함께	/əˈlɔːŋ wɪð/	She came along with her brother.	그녀는 남동생과 함께 왔다.	The package includes a manual along with the device.	그 포장에는 장치와 함께 설명서가 포함되어 있다.	together with
registration	noun	등록	/ˌredʒɪˈstreɪʃn/	Registration begins at 9 a.m.	등록은 오전 9시에 시작된다.	You must complete registration online.	온라인으로 등록을 완료해야 한다.	행사/수강 등록
at the time of	phrase	~할 때, ~시점에	/æt ðə taɪm əv/	He was living in Seoul at the time of the accident.	그는 사고 당시 서울에 살고 있었다.	Payment is required at the time of registration.	등록 시 결제가 필요하다.	특정 시점
in the order	phrase	순서대로	/ɪn ði ˈɔːrdər/	The names are listed in the order of arrival.	이름은 도착 순서대로 나열되어 있다.	Please answer the questions in the order shown.	표시된 순서대로 질문에 답하세요.	순서 표현
assign	verb	배정하다, 할당하다	/əˈsaɪn/	The teacher assigned homework.	선생님은 숙제를 내주었다.	Each student was assigned a seat.	각 학생에게 자리가 배정되었다.	일/자리/역할 배정
on a first-come, first-served basis	phrase	선착순으로	/ɑːn ə fɜːrst kʌm fɜːrst sɜːrvd ˈbeɪsɪs/	Tickets are sold on a first-come, first-served basis.	표는 선착순으로 판매된다.	Seats are available on a first-come, first-served basis.	좌석은 선착순으로 이용 가능하다.	안내문 표현
appliance	noun	가전제품	/əˈplaɪəns/	The store sells kitchen appliances.	그 가게는 주방 가전제품을 판다.	This appliance uses less electricity.	이 가전제품은 전기를 덜 사용한다.	냉장고/세탁기 등
easy-to-grip	adjective	잡기 쉬운	/ˈiːzi tə ɡrɪp/	The bottle has an easy-to-grip handle.	그 병에는 잡기 쉬운 손잡이가 있다.	This tool is easy to grip.	이 도구는 잡기 쉽다.	제품 설명
venue	noun	회장, 장소	/ˈvenjuː/	The wedding venue was beautiful.	결혼식장은 아름다웠다.	The conference venue is near the station.	회의장은 역 근처에 있다.	행사 장소
accommodate	verb	수용하다, 편의를 제공하다	/əˈkɑːmədeɪt/	The hall can accommodate 500 people.	그 홀은 500명을 수용할 수 있다.	The hotel can accommodate special requests.	그 호텔은 특별 요청을 수용할 수 있다.	사람/요구 수용
banquet	noun	연회, 성찬	/ˈbæŋkwɪt/	The banquet will begin at seven.	연회는 7시에 시작된다.	They held a banquet for the guests.	그들은 손님들을 위해 연회를 열었다.	공식 식사 행사
guest speaker	noun phrase	초청 연사	/ɡest ˈspiːkər/	The guest speaker gave an inspiring talk.	초청 연사는 감동적인 강연을 했다.	We invited a guest speaker to the seminar.	우리는 세미나에 초청 연사를 초대했다.	행사/강연
entertainment	noun	연예, 오락, 여흥	/ˌentərˈteɪnmənt/	The hotel offers live entertainment.	그 호텔은 라이브 공연을 제공한다.	Movies are a popular form of entertainment.	영화는 인기 있는 오락 형태이다.	즐길거리
regardless of	phrase	~와 관계없이	/rɪˈɡɑːrdləs əv/	Everyone can apply regardless of age.	나이에 관계없이 누구나 지원할 수 있다.	We continued regardless of the weather.	우리는 날씨와 관계없이 계속했다.	상관없음을 표현
survey	noun	설문조사	/ˈsɜːrveɪ/	Please complete the customer survey.	고객 설문조사를 완료해 주세요.	The survey showed high satisfaction.	그 설문조사는 높은 만족도를 보여 주었다.	질문 조사
